part,cond,measure,score
8,1,beta,0.9862887
8,1,aprime,0.4474359
8,1,bppd,0.03151862
8,1,c,0.2952597
8,1,hitrate,0.3333333
8,1,farate,0.3846154
8,1,mmodel,14
8,1,trust,3.5
8,1,workload,16
8,1,rt_avg,
8,2,dprime,0.9931291
8,2,beta,1.193276
8,2,aprime,0.8051282
8,2,bppd,0.1118421
8,2,c,0.1779252
8,2,hitrate,0.6666667
8,2,farate,0.2307692
8,2,mmodel,8
8,2,trust,3.3
8,2,workload,10
8,2,rt_avg,
9,0,dprime,1.422229
9,0,beta,0.5354261
9,0,aprime,0.9038462
9,0,bppd,-1
9,0,c,-0.4392347
9,0,hitrate,1
9,0,farate,0.3846154
9,0,mmodel,7
9,0,trust,3.1
9,0,workload,12
9,0,rt_avg,
9,1,dprime,2.121382
9,1,beta,4.826762
9,1,aprime,0.9166667
9,1,bppd,1
9,1,c,0.7420519
9,1,hitrate,0.6666667
9,1,farate,0
9,1,mmodel,23
9,1,trust,3.4
9,1,workload,12
9,1,rt_avg,
9,2,dprime,2.953092
9,2,beta,2.620302
9,2,aprime,1
9,2,bppd,0
9,2,c,0.3261969
9,2,hitrate,1
9,2,farate,0
9,2,mmodel,6
9,2,trust,3.3
9,2,workload,23
9,2,rt_avg,
10,0,dprime,2.121382
10,0,beta,4.826762
10,0,aprime,0.92
10,0,bppd,1
10,0,c,0.74205
10,0,hitrate,0.66666
10,0,farate,0
10,0,mmodel,10
10,0,trust,3.1
10,0,workload,18
10,0,rt_avg,
10,1,dprime,0.6523937
10,1,beta,2.62
10,1,aprime,0
10,1,bppd,0
10,1,c,1.476546
10,1,hitrate,0
10,1,farate,0
10,1,mmodel,18
10,1,trust,3.7
10,1,workload,11
10,1,rt_avg,
10,2,dprime,2.392216
10,2,beta,1.115681
10,2,aprime,0.9807692
10,2,bppd,-1
10,2,c,0.04575871
10,2,hitrate,1
10,2,farate,0.07692308
10,2,mmodel,16
10,2,trust,3.5
10,2,workload,24
10,2,rt_avg,
11,0,dprime,0.6866416
11,0,beta,0.5745665
11,0,aprime,0.8269231
11,0,bppd,-1
11,0,c,-0.8070286
11,0,hitrate,1
11,0,farate,0.6923077
11,0,mmodel,7
11,0,trust,2.7
11,0,workload,22
11,0,rt_avg,
11,1,dprime,2.071172
11,1,beta,0.788443
11,1,aprime,0.961538
11,1,bppd,-1
11,1,c,-0.1147632
11,1,hitrate,1
11,1,farate,0.153846
11,1,mmodel,9
11,1,trust,3.2
11,1,workload,27
11,1,rt_avg,
11,2,dprime,1.560506
11,2,beta,2.055155
11,2,aprime,0.8808761
11,2,bppd,0.5156951
11,2,c,0.4616137
11,2,hitrate,0.6666667
11,2,farate,0.07692308
11,2,mmodel,6
11,2,trust,2.5
11,2,workload,23
11,2,rt_avg,
12,0,dprime,0.7823471
12,0,beta,1.05838
12,0,aprime,0.764245
12,0,bppd,0.021148
12,0,c,0.072534
12,0,hitrate,0.666666
12,0,farate,0.3076923
12,0,mmodel,-17
12,0,trust,3.6
12,0,workload,28
12,0,rt_avg,
12,1,dprime,0.652393
12,1,beta,2.620302
12,1,aprime,0
12,1,bppd,0
12,1,c,1.47654
12,1,hitrate,0
12,1,farate,0
12,1,mmodel,-7
12,1,trust,3.7
12,1,workload,19
12,1,rt_avg,
12,2,dprime,2.953092
12,2,beta,2.620302
12,2,aprime,1
12,2,bppd,0
12,2,c,0.3261969
12,2,hitrate,1
12,2,farate,0
12,2,mmodel,1
12,2,trust,4.2
12,2,workload,21
12,2,rt_avg,
13,0,dprime,2.392216
13,0,beta,1.11568
13,0,aprime,0.98076
13,0,bppd,-1
13,0,c,0.0457587
13,0,hitrate,1
13,0,farate,0.076923
13,0,mmodel,-7
13,0,trust,2.4
13,0,workload,19
13,0,rt_avg,
13,1,dprime,-0.1312
13,1,beta,1.172966
13,1,aprime,0
13,1,bppd,0
13,1,c,-1.215
13,1,hitrate,1
13,1,farate,0.30769
13,1,mmodel,-12
13,1,trust,3.3
13,1,workload,20
13,1,rt_avg,
13,2,dprime,0.9232274
13,2,beta,2.055155
13,2,aprime,0.7617521
13,2,bppd,0.515695
13,2,c,0.78025
13,2,hitrate,0.3333333
13,2,farate,0.076923
13,2,mmodel,-11
13,2,trust,2.8
13,2,workload,27
13,2,rt_avg,
14,0,dprime,2.121382
14,0,beta,4.82676
14,0,aprime,0.916666
14,0,bppd,1
14,0,c,0.7420519
14,0,hitrate,0.66666
14,0,farate,0
14,0,mmodel,0
14,0,trust,3.4
14,0,workload,15
14,0,rt_avg,
14,1,dprime,0.145068
14,1,beta,1.058388
14,1,aprime,0.52849
14,1,bppd,0.02114804
14,1,c,0.3911736
14,1,hitrate,0.333333
14,1,farate,0.307692
14,1,mmodel,-1
14,1,trust,3.4
14,1,workload,22
14,1,rt_avg,
14,2,dprime,0.9232274
14,2,beta,2.055155
14,2,aprime,0.7617521
14,2,bppd,0.515695
14,2,c,0.78025
14,2,hitrate,0.3333
14,2,farate,0.07692
14,2,mmodel,-10
14,2,trust,3.5
14,2,workload,15
14,2,rt_avg,
15,0,dprime,0.09151741
15,0,beta,1.1156
15,0,aprime,0.2307692
15,0,bppd,1
15,0,c,1.196108
15,0,hitrate,0
15,0,farate,0.0769
15,0,mmodel,0
15,0,trust,3
15,0,workload,20
15,0,rt_avg,
15,1,dprime,1.484104
15,1,beta,4.826762
15,1,aprime,0.833333
15,1,bppd,1
15,1,c,1.06069
15,1,hitrate,0.3333333
15,1,farate,0
15,1,mmodel,6
15,1,trust,3.4
15,1,workload,17
15,1,rt_avg,
15,2,dprime,0.091517
15,2,beta,1.115681
15,2,aprime,0.23076
15,2,bppd,1
15,2,c,1.196108
15,2,hitrate,0
15,2,farate,0.076923
15,2,mmodel,5
15,2,trust,3.5
15,2,workload,16
15,2,rt_avg,
16,0,dprime,0.6523937
16,0,beta,2.620302
16,0,aprime,0
16,0,bppd,0
16,0,c,1.476546
16,0,hitrate,0
16,0,farate,0
16,0,mmodel,0
16,0,trust,3.6
16,0,workload,31
16,0,rt_avg,
16,1,dprime,0.6523937
16,1,beta,2.620302
16,1,aprime,0
16,1,bppd,0
16,1,c,1.476546
16,1,hitrate,0
16,1,farate,0
16,1,mmodel,9
16,1,trust,4.2
16,1,workload,14
16,1,rt_avg,
16,2,dprime,0.6523937
16,2,beta,2.620302
16,2,aprime,0
16,2,bppd,0
16,2,c,1.476546
16,2,hitrate,0
16,2,farate,0
16,2,mmodel,2
16,2,trust,4.8
16,2,workload,13
16,2,rt_avg,
17,0,dprime,1.450186
17,0,beta,4.543081
17,0,aprime,0.8333333
17,0,bppd,1
17,0,c,1.043732
17,0,hitrate,0.3333333
17,0,farate,0
17,0,mmodel,3
17,0,trust,2.7
17,0,workload,27
17,0,rt_avg,
17,1,dprime,1.484104
17,1,beta,4.826762
17,1,aprime,0.8333333
17,1,bppd,1
17,1,c,1.060691
17,1,hitrate,0.3333333
17,1,farate,0
17,1,mmodel,12
17,1,trust,2.8
17,1,workload,16
17,1,rt_avg,
17,2,dprime,2.121382
17,2,beta,4.826762
17,2,aprime,0.9166667
17,2,bppd,1
17,2,c,0.7420519
17,2,hitrate,0.6666667
17,2,farate,0
17,2,mmodel,6
17,2,trust,3.3
17,2,workload,12
17,2,rt_avg,
18,0,dprime,-0.2295264
18,0,beta,0.7884436
18,0,aprime,0.2115385
18,0,bppd,1
18,0,c,1.035586
18,0,hitrate,0
18,0,farate,0.153846
18,0,mmodel,14
18,0,trust,2.7
18,0,workload,29
18,0,rt_avg,
18,1,dprime,2.392216
18,1,beta,1.115681
18,1,aprime,0.9807692
18,1,bppd,-1
18,1,c,0.04575871
18,1,hitrate,1
18,1,farate,0.076923
18,1,mmodel,21
18,1,trust,3.2
18,1,workload,24
18,1,rt_avg,
18,2,dprime,2.121382
18,2,beta,4.826762
18,2,aprime,0.9166667
18,2,bppd,1
18,2,c,0.7420519
18,2,hitrate,0.6666667
18,2,farate,0
18,2,mmodel,5
18,2,trust,3.7
18,2,workload,23
18,2,rt_avg,
19,0,dprime,0.923227
19,0,beta,2.0551
19,0,aprime,0.76175
